"skill_id","skills","demand_count","avg_salary"
234,"confluence","11","114153"
92,"spark","13","113002"
80,"snowflake","37","111578"
97,"hadoop","22","110888"
2,"nosql","13","108331"
78,"redshift","16","107969"
233,"jira","20","107931"
76,"aws","32","106440"
13,"c++","11","105696"
201,"alteryx","17","105580"
74,"azure","34","105400"
77,"bigquery","13","105238"
185,"looker","49","103855"
1,"python","236","101512"
79,"oracle","37","100964"
187,"qlik","13","100933"
4,"java","17","100214"
5,"r","148","98708"
215,"flow","28","98020"
182,"tableau","230","97978"
8,"go","27","97267"
194,"ssis","12","97235"
0,"sql","398","96435"
61,"sql server","35","96191"
22,"vba","24","93845"
186,"sas","63","93707"
7,"sas","63","93707"
183,"power bi","110","92324"
9,"javascript","20","91805"
197,"ssrs","14","91537"
195,"sharepoint","18","89027"
196,"powerpoint","58","88316"
181,"excel","256","86419"
199,"spss","24","85293"
192,"sheets","32","84130"
188,"word","48","82941"
198,"outlook","13","80680"
