"skills","avg_salary"
"svn","400000.00"
"solidity","179000.00"
"couchbase","160515.00"
"datarobot","155485.50"
"golang","155000.00"
"mxnet","149000.00"
"dplyr","147633.33"
"vmware","147500.00"
"terraform","146733.83"
"twilio","138500.00"
"gitlab","134126.00"
"kafka","129999.16"
"puppet","129820.00"
"keras","127013.33"
"pytorch","125226.20"
"perl","124685.75"
"ansible","124370.00"
"hugging face","123950.00"
"tensorflow","120646.83"
"cassandra","118406.68"
"notion","118091.67"
"atlassian","117965.60"
"bitbucket","116711.75"
"airflow","116387.26"
"scala","115479.53"
"linux","114883.20"
"confluence","114153.12"
"pyspark","114057.87"
"mongodb","113607.71"
"aurora","113393.90"
"cordova","113269.50"
"gcp","113065.48"
"spark","113001.94"
"splunk","112927.60"
"databricks","112880.74"
"unify","112317.44"
"git","112249.64"
"dynamodb","111840.00"
"snowflake","111577.72"
"shell","111496.45"
"electron","111175.00"
"unix","111123.32"
"hadoop","110888.27"
"pandas","110767.07"
"node.js","110230.38"
"phoenix","109259.09"
"php","109051.51"
"neo4j","108646.42"
"nosql","108331.04"
"express","108221.35"
